food_name_std,fdcId,usda_description,calories_kcal_100g,carbs_g_100g,protein_g_100g,fat_g_100g,match_source,usda_similarity_pct,dataType,query_used
egg,747997,"Eggs, Grade A, Large, egg white",55.0,2.36,10.7,0.0,api_hit,,,
fish and tofu,167722,Tofu yogurt,394.0,16.0,3.5,1.8,api_hit,,,
flax hemp chia 1 4 green apple,170772,"WENDY'S, DAVE'S Hot 'N Juicy 1/4 LB, single",268.0,17.7,13.7,15.8,api_hit,,,
flax hemp chia kiwi,170148,"Seeds, hemp seed, hulled",553.0,8.67,31.6,48.8,api_hit,,,
green beans,169965,"Beans, snap, green, microwaved",33.0,6.41,2.31,0.5,api_hit,,,
in soup,172899,"Soup, HEALTHY CHOICE Chicken and Rice Soup, canned",37.0,5.71,2.53,0.55,api_hit,,,
leftovers from lunch,170794,"School Lunch, chicken patty, whole grain breaded",1030.0,12.5,17.6,13.9,api_hit,,,
mixed nuts,168599,"Nuts, mixed nuts, dry roasted, with peanuts, with salt added",594.0,25.4,17.3,51.4,api_hit,,,
mushroom,2003603,"Mushroom, beech",,6.76,2.18,0.449,api_hit,,,
noodles,168914,"Rice noodles, cooked",454.0,24.0,1.79,0.2,api_hit,,,
pizza slice,172041,"PIZZA HUT 12"" Cheese Pizza, Pan Crust",1170.0,29.9,11.7,12.6,api_hit,,,
plantain chips,173142,"Snacks, plantain chips, salted",2220.0,63.8,2.28,29.6,api_hit,,,
pretzel,171370,"Babyfood, pretzels",397.0,82.2,10.8,2.0,api_hit,,,
pretzels,171370,"Babyfood, pretzels",397.0,82.2,10.8,2.0,api_hit,,,
seaweed,170090,"Seaweed, agar, dried",306.0,80.9,6.21,0.3,api_hit,,,
sheep milk fat,170882,"Milk, sheep, fluid",108.0,5.36,5.98,7.0,api_hit,,,
soup wonton noodles,171821,"Soup, wonton, Chinese restaurant",32.0,5.25,2.08,0.26,api_hit,,,
soy beans,174278,Soy sauce made from soy (tamari),251.0,5.57,10.5,0.1,api_hit,,,
soybean,748366,"Oil, soybean",,,,,api_hit,,,
tofu,167722,Tofu yogurt,394.0,16.0,3.5,1.8,api_hit,,,
tofu fried fish,172451,"Tofu, fried",1130.0,8.86,18.8,20.2,api_hit,,,
tofu pork patty,172934,"Pork sausage, link/patty, unprepared",1210.0,0.93,15.4,24.8,api_hit,,,
veggies,174287,"Veggie burgers or soyburgers, unprepared",739.0,14.3,15.7,6.3,api_hit,,,
wonton wrappers,172802,Wonton wrappers (includes egg roll wrappers),291.0,57.9,9.8,1.5,api_hit,,,
1.5 piece pork chop,2727575,"Pork, chop, center cut, raw",,-0.562,22.8,5.48,api_hit,39.130434782608695,Foundation,1.5 piece pork chop
0.5 cup blanched choy sum,170568,"Nuts, almonds, blanched",590.0,18.7,21.4,52.5,api_hit,41.66666666666667,SR Legacy,0.5 cup blanched choy sum
1 tsp flax seed seed,170554,"Seeds, chia seeds, dried",486.0,42.1,16.5,30.7,api_hit,45.45454545454545,SR Legacy,1 tsp flax seed seed
1 tsp hempseed seeds,170148,"Seeds, hemp seed, hulled",553.0,8.67,31.6,48.8,api_hit,50.0,SR Legacy,1 tsp hempseed seeds
0.5 cup blueberries,2346411,"Blueberries, raw",,14.6,0.703,0.306,api_hit,62.857142857142854,Foundation,0.5 cup blueberries
1.5 cups choy sum,2685572,"Cabbage, bok choy, raw",,3.51,1.02,0.234,api_hit,35.8974358974359,Foundation,1.5 cups choy sum
2 cups choy sum,2685572,"Cabbage, bok choy, raw",,3.51,1.02,0.234,api_hit,37.83783783783784,Foundation,2 cups choy sum
5 oz. cod fish,173577,"Fish oil, cod liver",902.0,0.0,0.0,100.0,api_hit,48.484848484848484,SR Legacy,5 oz. cod fish
5 oz. pork chops,2727575,"Pork, chop, center cut, raw",,-0.562,22.8,5.48,api_hit,41.86046511627907,Foundation,5 oz. pork chops
3 cup mixed chinese vegetables,168072,"Restaurant, Chinese, beef and vegetables",105.0,7.29,7.08,5.3,api_hit,57.14285714285714,SR Legacy,3 cup mixed chinese vegetables
2 cups of vegetables,172283,"Babyfood, vegetables, mix vegetables junior",36.0,8.2,1.4,0.4,api_hit,38.095238095238095,SR Legacy,2 cups of vegetables
2 cups of chinese vegetables,168072,"Restaurant, Chinese, beef and vegetables",105.0,7.29,7.08,5.3,api_hit,58.82352941176471,SR Legacy,2 cups of chinese vegetables
5 oz pork chop,2727575,"Pork, chop, center cut, raw",,-0.562,22.8,5.48,api_hit,43.90243902439025,Foundation,5 oz pork chop
2 cups mixed vegetables,168787,"Egg custards, dry mix, prepared with 2% milk",112.0,17.6,4.13,2.83,api_hit,38.80597014925373,SR Legacy,2 cups mixed vegetables
6 oz pork chops,2727575,"Pork, chop, center cut, raw",,-0.562,22.8,5.48,api_hit,42.857142857142854,Foundation,6 oz pork chops
1.5 cups vegetables,174796,"Snacks, vegetable chips, made from garden vegetables",1980.0,60.4,5.32,23.3,api_hit,42.25352112676056,SR Legacy,1.5 cups vegetables
ground pork,2514745,"Pork, ground, raw",,0.0,17.8,17.5,api_hit,57.14285714285714,Foundation,ground pork
2 cups chinese vegetables,168072,"Restaurant, Chinese, beef and vegetables",105.0,7.29,7.08,5.3,api_hit,61.53846153846154,SR Legacy,2 cups chinese vegetables
1 cup chinese vegetables,168072,"Restaurant, Chinese, beef and vegetables",105.0,7.29,7.08,5.3,api_hit,62.5,SR Legacy,1 cup chinese vegetables
1.5 oz sliced beef,174575,"Pepperoni, beef and pork, sliced",504.0,1.18,19.2,46.3,api_hit,36.0,SR Legacy,1.5 oz sliced beef
1 cup vegetables,167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",280.0,3.0,10.9,1.0,api_hit,38.23529411764706,SR Legacy,1 cup vegetables
2 cups vegetables,172283,"Babyfood, vegetables, mix vegetables junior",36.0,8.2,1.4,0.4,api_hit,36.666666666666664,SR Legacy,2 cups vegetables
/blueberries/flax seed/hempseed/chia,170554,"Seeds, chia seeds, dried",486.0,42.1,16.5,30.7,api_hit,40.0,SR Legacy,/blueberries/flax seed/hempseed/chia
0.5 oz cheese,167944,"Bread, cheese",408.0,44.8,10.4,20.8,api_hit,53.84615384615385,SR Legacy,0.5 oz cheese
cashew nuts,2515374,"Nuts, cashew nuts, raw",,36.3,17.4,38.9,api_hit,66.66666666666666,Foundation,cashew nuts
5.4 oz sheep milk,170882,"Milk, sheep, fluid",108.0,5.36,5.98,7.0,api_hit,45.714285714285715,SR Legacy,5.4 oz sheep milk
1.5 oz of beef,172012,"Bologna, beef",299.0,4.29,10.9,26.1,api_hit,51.85185185185185,SR Legacy,1.5 oz of beef
1.5 oz beef,172012,"Bologna, beef",299.0,4.29,10.9,26.1,api_hit,50.0,SR Legacy,1.5 oz beef
2 cup of mixed vegetables,172283,"Babyfood, vegetables, mix vegetables junior",36.0,8.2,1.4,0.4,api_hit,38.23529411764706,SR Legacy,2 cup of mixed vegetables
/bluberries/flax seed/hempseed/kiwi,170554,"Seeds, chia seeds, dried",486.0,42.1,16.5,30.7,api_hit,37.28813559322034,SR Legacy,/bluberries/flax seed/hempseed/kiwi
1 cup of chinese vegetables,168072,"Restaurant, Chinese, beef and vegetables",105.0,7.29,7.08,5.3,api_hit,59.70149253731343,SR Legacy,1 cup of chinese vegetables
2.5 oz salmon,172343,"Fish oil, salmon",902.0,0.0,0.0,100.0,api_hit,62.06896551724138,SR Legacy,2.5 oz salmon
2 cups of bok choy,2685572,"Cabbage, bok choy, raw",,3.51,1.02,0.234,api_hit,50.0,Foundation,2 cups of bok choy
1.5 cups bok choy,2685572,"Cabbage, bok choy, raw",,3.51,1.02,0.234,api_hit,51.28205128205128,Foundation,1.5 cups bok choy
5 oz pork chops,2727575,"Pork, chop, center cut, raw",,-0.562,22.8,5.48,api_hit,42.857142857142854,Foundation,5 oz pork chops
sweet peas,2644284,"Blackeye pea, dry",,61.8,21.2,2.42,api_hit,44.44444444444444,Foundation,sweet peas
1.5 cooked mixed greens,168508,"Beet greens, cooked, boiled, drained, with salt",113.0,5.46,2.57,0.2,api_hit,42.857142857142854,SR Legacy,1.5 cooked mixed greens
1.5 mixed greens,2747653,"Beet greens, raw",,4.66,1.61,0.144,api_hit,50.0,Foundation,1.5 mixed greens
blueberries/1/2 kiwi,174111,"Beverages, Kiwi Strawberry Juice Drink",47.0,12.3,0.0,0.0,api_hit,34.48275862068966,SR Legacy,blueberries/1/2 kiwi
3 oz pork chop,2727575,"Pork, chop, center cut, raw",,-0.562,22.8,5.48,api_hit,43.90243902439025,Foundation,3 oz pork chop
5 oz ground pork,2514745,"Pork, ground, raw",,0.0,17.8,17.5,api_hit,60.60606060606061,Foundation,5 oz ground pork
2 cup chinese vegetables,168072,"Restaurant, Chinese, beef and vegetables",105.0,7.29,7.08,5.3,api_hit,62.5,SR Legacy,2 cup chinese vegetables
1.5 cups nappa cabbage,169975,"Cabbage, raw",103.0,5.8,1.28,0.1,api_hit,41.17647058823529,SR Legacy,1.5 cups nappa cabbage
1 cup ground pork,2514745,"Pork, ground, raw",,0.0,17.8,17.5,api_hit,58.82352941176471,Foundation,1 cup ground pork
1.5 cup vegetables,174796,"Snacks, vegetable chips, made from garden vegetables",1980.0,60.4,5.32,23.3,api_hit,40.0,SR Legacy,1.5 cup vegetables
2 cup choy sum,2685572,"Cabbage, bok choy, raw",,3.51,1.02,0.234,api_hit,38.88888888888889,Foundation,2 cup choy sum
